created_date,transaction_id,transaction_type,transaction_amount,user_id,first_login_date
6/8/2023,GDP23060832278279B,bank,416666.6667,63431300,7/19/2021
6/12/2023,GDP23061232307877B,bank,416666.6667,63431300,7/19/2021
6/15/2023,GDP23061532321892B,bank,416666.6667,63431300,7/19/2021
6/14/2023,GDP23061432314150B,bank,416666.6667,63431300,7/19/2021
6/14/2023,GDP23061432314152B,bank,416666.6667,63431300,7/19/2021
6/14/2023,GDP23061432314207B,bank,416666.6667,63431300,7/19/2021
6/3/2023,GDP23060332246953E,ewallet,208333.3333,63431300,7/19/2021
6/15/2023,GDP23061532321750E,ewallet,416666.6667,63431300,7/19/2021
6/16/2023,GDP23061632326520E,ewallet,208333.3333,63431300,7/19/2021
6/16/2023,GDP23061632326526E,ewallet,41666.66667,63431300,7/19/2021
6/16/2023,GDP23061632326529E,ewallet,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380462B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380464B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380465B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380466B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380472B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380467B,bank,41666.66667,63431300,7/19/2021
6/24/2023,GDP23062432380463B,bank,41666.66667,63431300,7/19/2021
6/28/2023,GDP23062832406576E,ewallet,41666.66667,63431300,7/19/2021
6/28/2023,GDP23062832406579E,ewallet,41666.66667,63431300,7/19/2021
6/21/2023,GDP23062132359354E,ewallet,41666.66667,63431300,7/19/2021
6/21/2023,GDP23062132359358E,ewallet,41666.66667,63431300,7/19/2021
6/22/2023,GDP23062232367488E,ewallet,41666.66667,63431300,7/19/2021
6/22/2023,GDP23062232367495E,ewallet,41666.66667,63431300,7/19/2021
6/29/2023,GDP23062932413375B,bank,208333.3333,63431300,7/19/2021
6/29/2023,GDP23062932413382B,bank,208333.3333,63431300,7/19/2021
6/29/2023,GDP23062932413378B,bank,208333.3333,63431300,7/19/2021
6/29/2023,GDP23062932413380B,bank,208333.3333,63431300,7/19/2021
6/28/2023,GDP23062832406569E,ewallet,208333.3333,63431300,7/19/2021
